dz, F
1.4443e-07, -1.73915e-10
1.44407e-07, -1.75229e-10
1.44385e-07, -1.76528e-10
1.44363e-07, -1.77813e-10
1.4434e-07, -1.79079e-10
1.44318e-07, -1.80328e-10
1.44296e-07, -1.81563e-10
1.44275e-07, -1.82781e-10
1.44253e-07, -1.83985e-10
1.44231e-07, -1.8517e-10
1.4421e-07, -1.86337e-10
1.44188e-07, -1.87488e-10
1.44167e-07, -1.88621e-10
1.44146e-07, -1.89742e-10
1.44125e-07, -1.90847e-10
1.44104e-07, -1.91935e-10
1.44083e-07, -1.93005e-10
1.44062e-07, -1.9406e-10
1.44041e-07, -1.95096e-10
1.44021e-07, -1.96115e-10
1.44e-07, -1.97113e-10
1.4398e-07, -1.98093e-10
1.4396e-07, -1.99056e-10
1.4394e-07, -2.00003e-10
1.4392e-07, -2.00935e-10
1.439e-07, -2.01851e-10
1.4388e-07, -2.02749e-10
1.4386e-07, -2.03631e-10
1.43841e-07, -2.04496e-10
1.43821e-07, -2.05346e-10
1.43802e-07, -2.06178e-10
1.43782e-07, -2.06991e-10
1.43763e-07, -2.07788e-10
1.43744e-07, -2.08569e-10
1.43725e-07, -2.09336e-10
1.43707e-07, -2.10088e-10
1.43688e-07, -2.10823e-10
1.43669e-07, -2.11542e-10
1.43651e-07, -2.12245e-10
1.43632e-07, -2.12931e-10
1.43614e-07, -2.13602e-10
1.43596e-07, -2.14256e-10
1.43578e-07, -2.14894e-10
1.4356e-07, -2.15513e-10
1.43542e-07, -2.16113e-10
1.43525e-07, -2.16697e-10
1.43507e-07, -2.17263e-10
1.4349e-07, -2.17813e-10
1.43472e-07, -2.1835e-10
1.43455e-07, -2.1887e-10
1.43438e-07, -2.19375e-10
1.43421e-07, -2.19865e-10
1.43404e-07, -2.2034e-10
1.43387e-07, -2.20799e-10
1.4337e-07, -2.21245e-10
1.43354e-07, -2.21675e-10
1.43338e-07, -2.22088e-10
1.43321e-07, -2.22486e-10
1.43305e-07, -2.22872e-10
1.43289e-07, -2.23244e-10
1.43273e-07, -2.23601e-10
1.43257e-07, -2.23945e-10
1.43241e-07, -2.24277e-10
1.43226e-07, -2.24597e-10
1.4321e-07, -2.249e-10
1.43195e-07, -2.25189e-10
1.4318e-07, -2.25464e-10
1.43165e-07, -2.25724e-10
1.4315e-07, -2.2597e-10
1.43135e-07, -2.26202e-10
1.4312e-07, -2.26417e-10
1.43105e-07, -2.26616e-10
1.43091e-07, -2.268e-10
1.43077e-07, -2.26973e-10
1.43062e-07, -2.27133e-10
1.43048e-07, -2.27278e-10
1.43034e-07, -2.27409e-10
1.4302e-07, -2.27528e-10
1.43006e-07, -2.27633e-10
1.42993e-07, -2.27721e-10
1.42979e-07, -2.27795e-10
1.42966e-07, -2.27855e-10
1.42952e-07, -2.27901e-10
1.42939e-07, -2.27935e-10
1.42926e-07, -2.27954e-10
1.42913e-07, -2.27959e-10
1.42901e-07, -2.27952e-10
1.42888e-07, -2.27931e-10
1.42875e-07, -2.27897e-10
1.42863e-07, -2.27851e-10
1.42851e-07, -2.27791e-10
1.42838e-07, -2.2772e-10
1.42826e-07, -2.27637e-10
1.42814e-07, -2.27539e-10
1.42803e-07, -2.27427e-10
1.42791e-07, -2.27299e-10
1.42779e-07, -2.27158e-10
1.42768e-07, -2.27005e-10
1.42757e-07, -2.26841e-10
1.42746e-07, -2.26665e-10
1.42734e-07, -2.26477e-10
1.42724e-07, -2.26275e-10
1.42713e-07, -2.26061e-10
1.42702e-07, -2.25835e-10
1.42692e-07, -2.25597e-10
1.42681e-07, -2.25346e-10
1.42671e-07, -2.25082e-10
1.42661e-07, -2.24808e-10
1.42651e-07, -2.24521e-10
1.42641e-07, -2.24223e-10
1.42631e-07, -2.23913e-10
1.42621e-07, -2.23594e-10
1.42612e-07, -2.23263e-10
1.42603e-07, -2.22918e-10
1.42593e-07, -2.22562e-10
1.42584e-07, -2.22194e-10
1.42575e-07, -2.21814e-10
1.42566e-07, -2.21422e-10
1.42558e-07, -2.21018e-10
1.42549e-07, -2.20603e-10
1.42541e-07, -2.20176e-10
1.42532e-07, -2.19737e-10
1.42524e-07, -2.19285e-10
1.42516e-07, -2.18822e-10
1.42508e-07, -2.18348e-10
1.425e-07, -2.17863e-10
1.42492e-07, -2.17368e-10
1.42485e-07, -2.16862e-10
1.42477e-07, -2.16345e-10
1.4247e-07, -2.15816e-10
1.42463e-07, -2.15276e-10
1.42456e-07, -2.14725e-10
1.42449e-07, -2.14165e-10
1.42442e-07, -2.13595e-10
1.42436e-07, -2.13015e-10
1.42429e-07, -2.12425e-10
1.42423e-07, -2.11825e-10
1.42417e-07, -2.11216e-10
1.4241e-07, -2.10598e-10
1.42404e-07, -2.09971e-10
1.42399e-07, -2.09336e-10
1.42393e-07, -2.08691e-10
1.42387e-07, -2.08035e-10
1.42382e-07, -2.07369e-10
1.42377e-07, -2.06694e-10
1.42371e-07, -2.0601e-10
1.42366e-07, -2.05316e-10
1.42361e-07, -2.04612e-10
1.42357e-07, -2.039e-10
1.42352e-07, -2.03179e-10
1.42348e-07, -2.0245e-10
1.42343e-07, -2.01712e-10
1.42339e-07, -2.00965e-10
1.42335e-07, -2.00209e-10
1.42331e-07, -1.99444e-10
1.42327e-07, -1.98668e-10
1.42323e-07, -1.97884e-10
1.4232e-07, -1.9709e-10
1.42316e-07, -1.96288e-10
1.42313e-07, -1.95477e-10
1.4231e-07, -1.94656e-10
1.42307e-07, -1.93826e-10
1.42304e-07, -1.92988e-10
1.42301e-07, -1.92141e-10
1.42299e-07, -1.91287e-10
1.42296e-07, -1.90424e-10
1.42294e-07, -1.89554e-10
1.42291e-07, -1.88676e-10
1.42289e-07, -1.8779e-10
1.42287e-07, -1.86895e-10
1.42286e-07, -1.85992e-10
1.42284e-07, -1.85082e-10
1.42282e-07, -1.84164e-10
1.42281e-07, -1.83237e-10
1.4228e-07, -1.82302e-10
1.42278e-07, -1.81359e-10
1.42277e-07, -1.80408e-10
1.42277e-07, -1.79449e-10
1.42276e-07, -1.78483e-10
1.42275e-07, -1.77511e-10
1.42275e-07, -1.7653e-10
1.42274e-07, -1.75543e-10
1.42274e-07, -1.74548e-10
1.42274e-07, -1.73547e-10
1.42274e-07, -1.72539e-10
1.42274e-07, -1.71524e-10
1.42275e-07, -1.70502e-10
1.42275e-07, -1.69474e-10
1.42276e-07, -1.68439e-10
1.42277e-07, -1.67397e-10
1.42277e-07, -1.66348e-10
1.42278e-07, -1.65292e-10
1.4228e-07, -1.64229e-10
1.42281e-07, -1.63162e-10
1.42282e-07, -1.62088e-10
1.42284e-07, -1.61008e-10
1.42286e-07, -1.5992e-10
1.42287e-07, -1.58826e-10
1.42289e-07, -1.57725e-10
1.42291e-07, -1.56619e-10
1.42294e-07, -1.55506e-10
1.42296e-07, -1.54388e-10
1.42299e-07, -1.53263e-10
1.42301e-07, -1.52132e-10
1.42304e-07, -1.50996e-10
1.42307e-07, -1.49854e-10
